,location,rating,number_of_reviews,date,trip type
639,,,,2016년 5월,커플로 여행함
640,,,,2016년 5월,커플로 여행함
641,,,,2015년 9월,친구와 여행함
642,,,,2015년 12월,커플로 여행함
643,,,,2016년 4월,커플로 여행함
644,,,,2016년 4월,커플로 여행함
645,,,,2016년 2월,커플로 여행함
646,,,,2016년 4월,가족과 여행함
647,,,,2016년 4월,가족과 여행함
648,,,,2016년 4월,친구와 여행함
649,,,,2016년 3월,가족과 여행함
650,,,,2016년 4월,커플로 여행함
651,,,,2015년 11월,친구와 여행함
652,,,,2016년 4월,커플로 여행함
653,,,,2016년 3월,가족과 여행함
654,,,,2015년 11월,커플로 여행함
655,,,,2016년 2월,가족과 여행함
656,,,,2016년 3월,친구와 여행함
657,,,,2016년 3월,커플로 여행함
658,,,,2015년 10월,커플로 여행함
659,,,,2015년 8월,친구와 여행함
660,,,,2015년 6월,친구와 여행함
661,,,,2015년 4월,가족과 여행함
662,,,,2015년 5월,친구와 여행함
663,,,,2016년 2월,친구와 여행함
664,,,,2015년 9월,커플로 여행함
665,,,,2015년 9월,커플로 여행함
666,,,,2015년 11월,친구와 여행함
667,,,,2015년 10월,친구와 여행함
668,,,,2016년 2월,나 혼자 여행함
669,,,,2016년 2월,나 혼자 여행함
670,,,,2016년 1월,친구와 여행함
